query_id,map_score
test-science-wsihwclscaaw-con01a,0.16666666666666666
test-economy-eptpghdtre-pro02a,0.013333333333333334
test-culture-mthbah-pro02a,0.5
test-international-amehbuaisji-con04a,0.5
test-health-hgwhwbjfs-pro03a,0.16666666666666666
test-health-dhghwapgd-con01a,0.3333333333333333
test-education-pstrgsehwt-pro03a,1.0
test-economy-epiasghbf-con01a,0.09090909090909091
test-sport-otshwbe2uuyt-con03a,1.0
test-politics-gvhbhlsbr-con04a,0.3333333333333333
test-economy-egecegphw-pro02a,0.2
test-politics-ypppgvhwmv-pro03a,0.5
test-law-phwmfri-con03a,0.125
test-culture-tlhrilsfhwr-pro01a,0.1111111111111111
test-culture-thbcsbptwhht-pro04a,0.5
test-economy-egppphbcb-pro03a,0.5
test-health-ahiahbgbsp-pro02a,0.16666666666666666
test-health-dhiacihwph-pro01a,0.14285714285714285
test-politics-cpegiepgh-con01a,0.5
test-religion-grcrgshwbr-pro03a,0.3333333333333333
test-culture-mthbah-pro05a,0.09090909090909091
test-politics-oapdhwinkp-con01a,0.5
test-free-speech-debate-ldhwprhs-pro02a,0.037037037037037035
test-society-epiasghbf-con04a,0.05555555555555555
test-law-lgplhbssbco-pro02a,1.0
test-health-dhghhbampt-con01a,0.05555555555555555
test-law-umtlilhotac-con02a,0.5
test-politics-ypppgvhwmv-con03a,0.16666666666666666
test-international-appghblsba-con03a,0.3333333333333333
test-culture-ascidfakhba-pro04a,0.1
test-education-usuprmhbu-con02a,1.0
test-law-phwmfri-pro01a,1.0
test-international-gmehwasr-pro05a,0.1111111111111111
test-education-ughbuesbf-con03a,0.1
test-free-speech-debate-yfsdfkhbwu-pro02a,0.14285714285714285
test-international-gmehwasr-con03a,0.3333333333333333
test-economy-egppphbcb-pro01a,0.5
test-international-siacphbnt-pro04a,0.5
test-economy-epegiahsc-pro02a,1.0
test-international-ipecfiepg-con02a,0.1111111111111111
test-international-gpdwhwcusa-pro03a,0.3333333333333333
test-religion-msgfhwbamec-con02a,0.14285714285714285
test-international-aghbfcpspr-pro03a,0.5
test-digital-freedoms-dfiphbgs-pro01a,1.0
test-philosophy-elhbrd-pro03a,0.3333333333333333
test-politics-glghssi-pro03a,0.07692307692307693
test-education-egscphsrdt-con01a,0.16666666666666666
test-international-siacphbnt-pro01a,0.5
test-economy-beplcpdffe-con04a,0.5
test-politics-lghwdecm-con02a,0.16666666666666666
